readyFrame:1
currentTime:49383.601202
count:5017
x y response
85 46 49
49 90 43
125 33 32
134 33 31
103 33 26
106 32 21
123 36 20
242 23 16
150 165 15
101 39 13
130 33 12
97 147 12
83 47 12
56 99 11
150 167 11
57 170 11
168 195 11
166 195 10
55 170 10
176 26 10
86 149 10
56 168 10
4 111 9
89 142 9
87 43 9
89 43 9
201 118 9
57 97 9
84 143 8
94 142 7
92 130 7
52 163 7
150 170 7
197 34 7
145 31 7
213 194 7
48 97 7
222 192 7
38 144 7
35 170 7
50 154 6
254 7 6
118 38 6
45 171 6
119 34 6
167 33 6
176 32 6
47 27 6
216 193 6
195 164 6
207 199 6
87 143 6
65 151 6
6 174 6
43 146 6
9 111 6
100 142 6
197 121 6
9 109 6
53 99 6
180 160 5
4 215 5
46 148 5
61 204 5
24 167 5
60 174 5
11 158 5
230 116 5
44 167 5
215 195 5
108 144 5
15 108 5
42 100 5
28 161 5
48 170 5
108 146 5
198 176 5
30 94 5
200 177 5
28 139 5
48 85 5
86 57 5
88 48 5
52 147 5
197 173 5
111 43 5
196 192 5
21 157 5
246 39 5
154 166 5
28 134 5
106 37 5
46 167 5
20 152 5
164 34 5
50 170 5
90 125 5
156 170 5
56 147 5
174 196 5
184 179 5
78 144 5
32 150 5
166 191 5
140 31 5
201 120 5
267 26 5
232 26 5
38 158 5
191 159 5
255 12 5
291 156 4
159 216 4
23 143 4
175 212 4
11 164 4
26 166 4
104 141 4
75 141 4
51 140 4
90 139 4
47 163 4
147 138 4
52 138 4
12 138 4
13 136 4
223 173 4
72 133 4
96 131 4
94 131 4
54 158 4
31 129 4
21 128 4
91 127 4
88 127 4
214 201 4
31 213 4
29 213 4
306 199 4
7 214 4
204 111 4
272 266 4
185 172 4
198 167 4
7 109 4
362 170 4
16 101 4
9 153 4
61 252 4
21 173 4
6 98 4
167 156 4
9 217 4
4 97 4
19 96 4
229 95 4
55 95 4
23 173 4
32 93 4
223 228 4
211 188 4
89 89 4
232 86 4
148 172 4
371 77 4
88 73 4
343 67 4
25 58 4
154 172 4
88 56 4
140 266 4
16 156 4
295 281 4
26 161 4
186 174 4
244 270 4
58 156 4
48 165 4
363 231 4
231 37 4
30 150 4
166 152 4
198 165 4
220 191 4
10 131 4
231 33 4
114 38 4
60 152 4
185 193 4
11 162 4
7 245 4
192 192 4
29 211 4
162 32 4
142 32 4
138 32 4
5 149 4
167 31 4
14 146 4
51 145 4
177 30 4
179 28 4
41 145 4
324 26 4
19 145 4
193 163 4
30 155 4
248 25 4
43 240 4
258 18 4
246 13 4
28 144 4
181 33 4
41 172 3
173 159 3
224 206 3
146 217 3
375 162 3
198 188 3
85 174 3
204 206 3
195 154 3
73 156 3
72 217 3
336 221 3
157 155 3
149 188 3
19 214 3
31 217 3
192 170 3
63 248 3
170 221 3
372 227 3
113 154 3
32 248 3
330 239 3
122 162 3
230 213 3
247 164 3
17 125 3
204 191 3
115 209 3
200 191 3
372 238 3
5 176 3
328 243 3
145 242 3
17 227 3
180 213 3
343 210 3
209 175 3
319 167 3
218 201 3
113 160 3
327 235 3
161 179 3
4 152 3
323 151 3
83 151 3
230 257 3
125 149 3
330 255 3
69 149 3
182 182 3
108 148 3
89 148 3
171 157 3
119 147 3
105 147 3
161 204 3
344 263 3
92 164 3
231 146 3
158 163 3
73 146 3
113 175 3
252 263 3
202 255 3
207 178 3
22 145 3
42 242 3
348 144 3
275 144 3
158 178 3
178 272 3
79 263 3
31 144 3
7 284 3
186 157 3
33 242 3
156 173 3
147 163 3
158 238 3
164 180 3
54 142 3
112 141 3
217 199 3
70 162 3
83 140 3
53 140 3
47 156 3
35 140 3
148 204 3
171 185 3
284 282 3
104 138 3
95 138 3
281 282 3
26 138 3
182 199 3
97 137 3
63 137 3
270 136 3
240 271 3
90 135 3
230 271 3
251 282 3
58 132 3
5 132 3
103 131 3
100 250 3
61 262 3
37 131 3
18 131 3
28 150 3
203 115 3
121 129 3
266 155 3
214 128 3
47 203 3
156 254 3
57 199 3
23 127 3
248 225 3
234 124 3
222 225 3
14 121 3
3 121 3
58 178 3
34 120 3
268 118 3
251 118 3
168 219 3
274 117 3
67 254 3
7 116 3
6 114 3
273 112 3
216 270 3
71 111 3
330 246 3
6 178 3
91 110 3
87 225 3
143 240 3
311 231 3
338 103 3
29 103 3
24 102 3
162 270 3
245 100 3
33 254 3
8 100 3
138 187 3
131 187 3
46 99 3
12 270 3
225 97 3
134 185 3
65 208 3
38 97 3
143 198 3
335 96 3
272 96 3
24 161 3
91 166 3
304 224 3
42 95 3
38 95 3
21 95 3
17 95 3
57 94 3
67 153 3
252 93 3
247 253 3
232 92 3
270 90 3
241 90 3
8 219 3
204 189 3
42 231 3
275 88 3
281 87 3
360 86 3
251 86 3
180 280 3
89 170 3
301 83 3
88 83 3
34 83 3
53 82 3
199 81 3
12 81 3
183 80 3
196 78 3
95 78 3
294 177 3
16 166 3
54 72 3
376 71 3
366 71 3
253 70 3
206 70 3
54 69 3
87 68 3
4 68 3
37 208 3
249 67 3
229 66 3
94 66 3
86 66 3
89 64 3
169 156 3
26 210 3
284 56 3
136 253 3
258 55 3
235 54 3
159 52 3
81 52 3
199 50 3
340 48 3
62 153 3
65 237 3
34 208 3
38 46 3
6 46 3
40 45 3
97 44 3
135 43 3
126 167 3
180 172 3
207 259 3
14 42 3
3 42 3
228 40 3
133 40 3
174 172 3
151 259 3
79 39 3
31 39 3
377 38 3
346 38 3
27 218 3
248 89 3
354 37 3
341 37 3
264 37 3
205 197 3
161 37 3
151 37 3
190 273 3
316 36 3
367 278 3
234 35 3
9 207 3
57 259 3
151 34 3
8 193 3
302 33 3
23 259 3
177 153 3
179 33 3
190 168 3
301 229 3
225 192 3
244 162 3
56 155 3
211 229 3
171 32 3
116 172 3
153 32 3
151 267 3
154 223 3
14 223 3
180 186 3
164 31 3
350 156 3
249 217 3
69 197 3
27 30 3
108 29 3
305 222 3
176 28 3
345 27 3
173 157 3
33 197 3
354 266 3
29 170 3
75 172 3
46 177 3
50 246 3
61 22 3
247 20 3
28 20 3
141 252 3
22 18 3
351 17 3
365 16 3
253 13 3
65 204 3
52 258 3
356 11 3
254 9 3
168 184 3
244 7 3
32 7 3
4 6 3
283 5 3
22 4 3
169 223 2
163 223 2
112 223 2
57 267 2
42 267 2
156 192 2
3 267 2
299 222 2
149 192 2
142 192 2
278 163 2
249 266 2
183 222 2
241 266 2
235 266 2
223 266 2
156 222 2
148 222 2
143 222 2
128 222 2
114 222 2
61 222 2
293 158 2
129 266 2
84 266 2
81 266 2
76 266 2
61 192 2
80 174 2
75 174 2
303 265 2
58 174 2
258 221 2
239 221 2
227 265 2
234 221 2
202 265 2
173 221 2
235 191 2
233 191 2
57 221 2
37 265 2
9 265 2
18 221 2
315 220 2
269 264 2
251 158 2
19 174 2
152 264 2
140 264 2
84 264 2
76 264 2
351 173 2
201 220 2
147 220 2
21 191 2
168 163 2
7 264 2
93 220 2
74 220 2
229 173 2
66 220 2
207 263 2
100 263 2
48 220 2
23 220 2
20 220 2
12 220 2
3 263 2
311 219 2
267 262 2
249 262 2
223 262 2
209 262 2
191 262 2
313 155 2
124 262 2
273 219 2
108 154 2
235 219 2
204 219 2
197 219 2
244 261 2
230 261 2
65 163 2
183 261 2
330 172 2
135 261 2
89 261 2
317 189 2
227 189 2
99 219 2
355 260 2
95 219 2
220 260 2
214 260 2
258 155 2
125 260 2
66 260 2
33 260 2
16 260 2
7 260 2
302 218 2
15 163 2
179 218 2
233 259 2
165 172 2
50 189 2
64 259 2
140 172 2
357 188 2
138 172 2
5 163 2
282 258 2
321 188 2
226 258 2
221 258 2
204 258 2
235 217 2
319 188 2
157 258 2
73 172 2
173 217 2
169 217 2
164 217 2
37 258 2
29 258 2
341 257 2
155 217 2
238 257 2
213 257 2
18 172 2
153 188 2
110 257 2
136 188 2
144 158 2
111 158 2
351 256 2
332 256 2
311 256 2
85 154 2
324 171 2
203 155 2
225 256 2
197 256 2
185 256 2
296 171 2
101 256 2
89 256 2
312 162 2
176 216 2
46 256 2
151 216 2
15 256 2
295 255 2
221 255 2
301 162 2
261 162 2
147 255 2
19 216 2
130 255 2
124 255 2
103 255 2
253 162 2
210 171 2
251 187 2
128 171 2
291 215 2
327 254 2
292 254 2
195 187 2
110 171 2
239 254 2
232 254 2
162 254 2
141 254 2
90 254 2
228 215 2
37 254 2
191 215 2
181 215 2
248 162 2
267 253 2
153 215 2
212 253 2
201 253 2
143 215 2
135 215 2
75 187 2
372 170 2
126 253 2
84 253 2
140 187 2
63 215 2
321 186 2
296 186 2
296 214 2
262 252 2
176 186 2
163 186 2
350 170 2
170 214 2
148 214 2
162 252 2
118 252 2
285 170 2
94 186 2
70 186 2
44 252 2
231 162 2
21 252 2
9 252 2
205 162 2
349 213 2
222 251 2
126 162 2
218 213 2
172 170 2
13 186 2
125 251 2
110 251 2
151 213 2
82 251 2
145 213 2
42 251 2
31 251 2
170 170 2
158 170 2
6 251 2
65 213 2
74 154 2
245 250 2
34 213 2
214 250 2
272 185 2
123 170 2
283 212 2
115 250 2
85 250 2
67 250 2
47 250 2
33 250 2
373 249 2
155 185 2
324 249 2
309 249 2
198 212 2
42 185 2
57 212 2
136 249 2
51 212 2
88 249 2
16 212 2
4 212 2
54 249 2
20 249 2
339 184 2
359 161 2
286 248 2
174 184 2
211 248 2
45 211 2
115 248 2
99 248 2
19 211 2
78 248 2
10 211 2
328 247 2
7 211 2
315 161 2
289 247 2
78 184 2
274 210 2
231 210 2
207 210 2
151 247 2
4 184 2
139 247 2
131 247 2
127 247 2
358 183 2
333 183 2
173 210 2
165 210 2
162 210 2
312 169 2
11 154 2
355 246 2
254 183 2
317 246 2
295 246 2
209 157 2
35 210 2
230 246 2
23 210 2
259 169 2
191 246 2
224 161 2
156 246 2
335 209 2
161 161 2
82 246 2
76 246 2
188 169 2
4 246 2
153 183 2
147 183 2
177 209 2
337 245 2
134 209 2
139 183 2
133 183 2
195 157 2
12 209 2
372 208 2
327 208 2
245 245 2
136 169 2
204 245 2
298 208 2
288 208 2
152 245 2
145 245 2
125 245 2
37 161 2
70 169 2
225 208 2
219 208 2
60 245 2
369 168 2
292 244 2
234 168 2
332 207 2
212 244 2
201 244 2
250 207 2
161 244 2
135 244 2
114 244 2
195 207 2
175 207 2
159 207 2
261 182 2
28 244 2
156 168 2
317 243 2
297 243 2
208 182 2
193 182 2
54 207 2
44 207 2
206 243 2
29 207 2
182 243 2
175 243 2
158 243 2
154 243 2
124 243 2
101 243 2
25 207 2
83 243 2
23 207 2
49 243 2
94 168 2
283 206 2
354 242 2
192 206 2
172 206 2
153 157 2
49 182 2
45 182 2
39 206 2
14 206 2
357 205 2
65 242 2
28 242 2
9 242 2
374 241 2
350 205 2
345 205 2
337 205 2
81 155 2
34 182 2
377 167 2
278 205 2
254 181 2
160 241 2
111 241 2
40 241 2
219 205 2
355 167 2
167 181 2
181 205 2
159 153 2
90 181 2
108 205 2
94 205 2
